name,city,province,country,governing_body,org_type,id
"Atlantic Coast Academy","Pittsfield","MA","US","BEAST","academy","ba102d2a-ceb6-4a70-b353-76c33faf682b"
"Auburn Ice Hawks","Auburn","NY","US","Snowbelt","association","087c701a-494d-4a46-8d3b-681deccbdab6"
"Aurora Tigers","Aurora","ON","CA","OMHA","association","62b1b705-d9a4-4058-9520-5c90d53a01de"
"Ausable Valley Coyotes","Parkhill","ON","CA","OMHA","association","d87cce13-b897-4189-b12c-e273dd4cb8cc"
"Austin Mallards","Austin","TX","US","Independent","association","34d6c7fe-4156-49f7-a710-0ada619ed7cf"
"Austin Packers","Austin","MN","US","MN09","association","523f447e-680d-446f-b85b-ed222d1c0fcb"
"Avalon Celtics","St John's","NL","CA","DJHL","association","35ff73f1-b266-4b7b-9150-b82bd8a47e39"
"Avenue Road Ducks","North York","ON","CA","GTHL","association","93f4865e-a0a8-43de-8be4-098c2fa7fb85"
"Avon Panthers","Avon","CT","US","CHC","association","7b9a418b-7991-4ca6-80df-cf93f0ad22a0"
"Avonlea Thunder","Avonlea","SK","CA","SEMHL","association","59dc3cc0-23c9-41be-be76-bf4b8ab35f5c"
"AY NorthStars","Westborough","MA","US","EHF","association","6d2d5289-997d-4b4d-9cd9-c298fc42daa3"
"Aylmer Flames","Aylmer","ON","CA","OMHA","association","a762fc1e-6a42-43c9-98f3-cb106af6f64c"
"Aylmer Voiliers","Aylmer","QC","CA","LHRO","association","bf00c481-78ad-4d9e-a08d-5eddcdd4cd16"
"Ayr Flames","Ayr","ON","CA","OMHA","association","c4b05061-6985-49ff-a159-bb1de499ba2c"
"Ayr Rockets","Ayr","ON","CA","OWHA","association","66e3d864-59de-4be2-a27a-5be28d34dfb6"
"Back Bay Indians","Wolfeboro","NH","US","NHAHA","association","64cb6bdf-7819-4596-9c44-d43be12f1703"
"Bagley Flyers","Bagley","MN","US","MN16","association","126b8b71-fd65-456a-86cf-b69334f88ab1"
"Baie Comeau Nord-Cotiers","Baie-Comeau","QC","CA","BSL","association","57809b2b-799d-4121-a24c-1ab4d805293a"
"Baie des Chaleurs Gladiateurs","New Richmond","QC","CA","BSL","association","ae654f78-23a5-4191-84e6-1036ae7e0fd0"
"Baie Verte Sabres","Baie Verte","NL","CA","Independent","association","b7b1bbea-f171-4cd3-9e9f-a03e2cd1a2b9"
"Bakersfield Jr Condors","Bakersfield","CA","US","CAHA","association","5a004c19-fe4a-4e38-81ab-fe49411b3067"
"Balcarres Broncs","Balcarres","SK","CA","Mainline","association","e3a5aa07-b94f-4c19-b200-7911b77b85b2"
"Baldwin Blackhawks","Baldwin","WI","US","MN02","association","9d64bfcf-efec-4511-87a2-8191072f32e1"
"Baltimore Ice Dogs","Baltimore","ON","CA","EOMHL","association","ccaa860b-8d90-4287-9603-eedd3b6a902e"
"Baltimore Stars","Baltimore","MD","US","CBHL","association","ac258c0c-9703-432f-8469-3ed948c6246d"
"Bancroft Jets","Bancroft","ON","CA","EOMHL","association","365c196e-1977-447f-979f-92f1840f1c80"
"Bancroft Jets","Bancroft","ON","CA","OWHA","association","116eb5f3-b0b6-472d-aa1c-2fb5729341dc"
"Banff Bears","Banff","AB","CA","CAHL","association","32d1e450-d1ee-405a-b794-de3fc304396b"
"Baraboo Thunderbirds","Baraboo","WI","US","WAHA","association","a60bb939-747a-4950-9424-97c1ceb01670"
"Barnstable Red Raiders","Hyannis","MA","US","PHL","association","4baa8602-24aa-48bc-968b-0d92a511bd12"
"Barrhead Bruins","Barrhead","AB","CA","NEAHL","association","0c881184-e2a0-4485-a282-ab1bbbcbc6b2"
"Barrie Colts","Barrie","ON","CA","OMHA","association","275642b7-10df-4e9f-8609-48acc0b40fc8"
"Barrie Colts AAA","Barrie","ON","CA","OMHA","association","1d803123-9217-404a-ab51-2d5000d9c649"
"Barrie Sharks","Barrie","ON","CA","OWHA","association","fe36ce07-e2c1-4b0d-88d9-c4e6b0828bd7"
"Barron/Chetek Grizzlies","Barron","WI","US","WAHA","association","8f57f5d0-d5ee-4b13-b252-cf009159bc4e"
"Bashaw Stars","Bashaw","AB","CA","CAHL","association","ddcfb932-38be-44ef-bad4-61d20f173db3"
"Bassano Outlaws","Bassano","AB","CA","CAHL","association","73a1259f-0691-4c5c-a03a-e7b48b7d62bb"
"Basses Laurentides Conquerants","Terrebonne","QC","CA","LHEQ","association","e672fd28-60c5-4723-8e73-0ef994a16fba"
"Batavia Ramparts","Batavia","NY","US","EAHC","association","21a019f5-e7ec-4228-9fcd-698f8941705b"
"Bathurst Panthers","Bathurst","NB","CA","NSMHL-LHMC","association","afd521d4-d919-48ba-b77e-ae5635d8e8ba"
"Battle Creek Bruins","Battle Creek","MI","US","Adray","association","789532d5-f841-4791-b651-30007e8671d6"
"Battle River Knights","Sedgewick","AB","CA","CAHL","association","c6e3f70b-d671-433a-9e83-33e90b8a1e21"
"Battlefords Barons","North Battleford","SK","CA","SAAHL","association","f2a55c89-4b1f-4c6b-a5c9-c164072cdf19"
"Bay Arena Rovers","Bay Roberts","NL","CA","Independent","association","2b97a959-c465-442d-b233-2cfcf69381a8"
"Bay County Blizzard","Bay City","MI","US","LCAHL","association","1f88fcc7-74ed-437f-86f0-dccdaac85ef1"
"Bay Harbor Red Wings","Harbor City","CA","US","CAHA","association","1e1c7a24-c774-4088-91a1-0f275067a203"
"Bay State Breakers","Marshfield","MA","US","EHF","association","a194e6fa-b0ca-4b97-b7fd-204f0dadb59e"
"Beardys Blackhawks","Duck Lake","SK","CA","SVMHL","association","a9df1a15-f50c-4872-a7cc-0a533cc1e36b"
"Beauce Appalaches Canam","Saint Georges","QC","CA","LHEQ","association","cfcc4181-7191-4837-bafb-e1a3a2ae80bb"
"Beauce Appalaches Vikings","Beauceville","QC","CA","LHQCA","association","55c24e1e-2adb-487e-a7e3-612359154831"
"Beauce-Nord Rapides","Sainte-Marie de Beauce","QC","CA","LHQCA","association","45e70966-024b-4625-85d9-ef47571cf225"
"Beauharnois Ecole","Beauharnois","QC","CA","RSEQ","association","df9cbec5-930b-4dc2-9156-0369135dc52a"
"Beauharnois Patriots","Beauharnois","QC","CA","LHGM","association","89efaf8b-e66c-4f77-94c0-26446143d155"
"Beaumont Braves","Beaumont","AB","CA","EFHL","association","89ab0d33-1a0f-432a-b307-c692964d60fd"
"Beauport Harfangs","Beauport","QC","CA","QBC","association","f0b2befe-3db7-407e-94af-beaff5cd9d98"
"Beausejour-Brokenhead Blades","Beausejour","MB","CA","Eastman","association","7797d26c-8191-4b4a-a0a6-815e43996da2"
"Beaver County Badgers","Beaver","PA","US","PAHL","association","41fce503-f8a7-482e-abe2-4b39a8d48f8a"
"Beaver Dam","Beaver Dam","WI","US","WAHA","association","c249f51a-1e8a-4410-a7cf-5c8e755464a6"
"Beaver Dam WSC","Locust Valley","NY","US","Independent","association","4a4d5475-65de-4496-ac51-050cab865d1f"
"Beaverlodge Blades","Beaverlodge","AB","CA","APHL","association","9e07ce44-bca2-44e9-a272-0b4ae392a9a9"
"Becancour Riverains","Becancour","QC","CA","LHQCA","association","3c87c22b-9633-45be-a7ac-1a20279f2415"
"Becker Big Lake Eagles","Becker","MN","US","MN10","association","79c80bea-dff9-4fca-8a4e-683835e7bc16"
"Bedford Bears","Katonah","NY","US","HVHL","association","216623db-7ee9-4356-a1b2-9c72d92ba599"
